leftId	rightId	blockNum	leftCluster	rightCluster
Cume10g1224	Bhhi10g0526	5		
Cume10g1199	Bhhi10g0539	5		
Cume10g1191	Bhhi10g0561	5		
Cume10g1141	Bhhi10g0562	5		
Cume10g0384	Bhhi10g0291	6		
Cume10g0395	Bhhi10g0307	6		
Cume10g0425	Bhhi10g0326	6		
Cume10g0430	Bhhi10g0354	6		
Cume10g0448	Bhhi10g0395	6		
Cume10g0063	Bhhi10g0826	7		
Cume10g0061	Bhhi10g0866	7		
Cume10g0045	Bhhi10g0883	7		
Cume10g0031	Bhhi10g0899	7		
Cume10g0009	Bhhi10g0904	7		
Cume10g0302	Bhhi10g0640	8		
Cume10g0294	Bhhi10g0678	8		
Cume10g0273	Bhhi10g0725	8		
Cume10g0233	Bhhi10g0728	8		
Cume10g0183	Bhhi10g0752	8		
Cume10g1721	Bhhi10g0342	9		
Cume10g1685	Bhhi10g0362	9		
Cume10g1665	Bhhi10g0401	9		
Cume10g1664	Bhhi10g0402	9		
Cume10g1614	Bhhi10g0408	9		
Cume10g0009	Bhhi10g0506	10		
Cume10g0033	Bhhi10g0521	10		
Cume10g0062	Bhhi10g0562	10		
Cume10g0110	Bhhi10g0583	10		
Cume1g1200	Bhhi10g1100	1		
Cume1g1239	Bhhi10g1148	1		
Cume1g1252	Bhhi10g1165	1		
Cume1g1258	Bhhi10g1170	1		
Cume1g1259	Bhhi10g1172	1		
Cume1g1263	Bhhi10g1173	1		
Cume1g1268	Bhhi10g1179	1		
Cume1g1270	Bhhi10g1180	1		
Cume1g1273	Bhhi10g1188	1		
Cume1g1274	Bhhi10g1193	1		
Cume1g1278	Bhhi10g1201	1		
Cume1g1279	Bhhi10g1203	1		
Cume1g1280	Bhhi10g1205	1		
Cume1g1283	Bhhi10g1208	1		
Cume1g1284	Bhhi10g1209	1		
Cume1g1292	Bhhi10g1218	1		
Cume1g1295	Bhhi10g1219	1		
Cume1g1296	Bhhi10g1220	1		
Cume1g1297	Bhhi10g1221	1		
Cume1g1300	Bhhi10g1222	1		
Cume1g1301	Bhhi10g1224	1		
Cume1g1303	Bhhi10g1231	1		
Cume1g1308	Bhhi10g1232	1		
Cume1g1310	Bhhi10g1233	1		
Cume1g1314	Bhhi10g1236	1		
Cume1g1333	Bhhi10g1240	1		
Cume1g1352	Bhhi10g1253	1		
Cume1g1353	Bhhi10g1254	1		
Cume1g1359	Bhhi10g1256	1		
Cume1g1363	Bhhi10g1258	1		
Cume1g1368	Bhhi10g1268	1		
Cume1g1373	Bhhi10g1283	1		
Cume1g1386	Bhhi10g1285	1		
Cume1g1389	Bhhi10g1291	1		
Cume1g1399	Bhhi10g1294	1		
Cume1g1414	Bhhi10g1298	1		
Cume1g1427	Bhhi10g1299	1		
Cume1g1429	Bhhi10g1301	1		
Cume1g1440	Bhhi10g1306	1		
Cume1g1443	Bhhi10g1310	1		
Cume1g1449	Bhhi10g1311	1		
Cume1g1471	Bhhi10g1324	1		
Cume1g1517	Bhhi10g1339	1		
Cume1g1558	Bhhi10g1367	1		
Cume1g0581	Bhhi10g0804	2		
Cume1g0573	Bhhi10g0817	2		
Cume1g0567	Bhhi10g0819	2		
Cume1g0554	Bhhi10g0830	2		
Cume1g0538	Bhhi10g0839	2		
Cume1g0511	Bhhi10g0850	2		
Cume1g0483	Bhhi10g0862	2		
Cume1g0481	Bhhi10g0868	2		
Cume1g0474	Bhhi10g0869	2		
Cume1g0456	Bhhi10g0877	2		
Cume1g0441	Bhhi10g0887	2		
Cume1g0439	Bhhi10g0890	2		
Cume1g0435	Bhhi10g0896	2		
Cume1g0433	Bhhi10g0897	2		
Cume1g0429	Bhhi10g0904	2		
Cume1g0419	Bhhi10g0912	2		
Cume1g0416	Bhhi10g0916	2		
Cume1g0411	Bhhi10g0923	2		
Cume1g0409	Bhhi10g0928	2		
Cume1g0407	Bhhi10g0932	2		
Cume1g0393	Bhhi10g0938	2		
Cume1g0345	Bhhi10g0954	2		
Cume1g0295	Bhhi10g0634	3		
Cume1g0319	Bhhi10g0682	3		
Cume1g0324	Bhhi10g0703	3		
Cume1g0325	Bhhi10g0706	3		
Cume1g0337	Bhhi10g0716	3		
Cume1g0340	Bhhi10g0720	3		
Cume1g0341	Bhhi10g0724	3		
Cume1g0342	Bhhi10g0725	3		
Cume1g0345	Bhhi10g0728	3		
Cume1g0348	Bhhi10g0729	3		
Cume1g0362	Bhhi10g0744	3		
Cume1g0374	Bhhi10g0750	3		
Cume1g0376	Bhhi10g0754	3		
Cume1g0383	Bhhi10g0769	3		
Cume1g1479	Bhhi10g0583	4		
Cume1g1493	Bhhi10g0585	4		
Cume1g1504	Bhhi10g0591	4		
Cume1g1511	Bhhi10g0592	4		
Cume1g1520	Bhhi10g0600	4		
Cume1g1522	Bhhi10g0601	4		
Cume1g1531	Bhhi10g0605	4		
Cume1g1534	Bhhi10g0606	4		
Cume1g1536	Bhhi10g0609	4		
Cume1g1539	Bhhi10g0613	4		
Cume1g1543	Bhhi10g0617	4		
Cume1g1544	Bhhi10g0618	4		
Cume1g1558	Bhhi10g0619	4		
Cume1g2466	Bhhi10g0180	5		
Cume1g2471	Bhhi10g0185	5		
Cume1g2472	Bhhi10g0187	5		
Cume1g2475	Bhhi10g0195	5		
Cume1g2478	Bhhi10g0198	5		
Cume1g2485	Bhhi10g0200	5		
Cume1g2494	Bhhi10g0208	5		
Cume1g2497	Bhhi10g0229	5		
Cume1g2509	Bhhi10g0234	5		
Cume1g2517	Bhhi10g0258	5		
Cume1g0004	Bhhi10g1320	7		
Cume1g0021	Bhhi10g1333	7		
Cume1g0025	Bhhi10g1336	7		
Cume1g0026	Bhhi10g1337	7		
Cume1g0031	Bhhi10g1340	7		
Cume1g0037	Bhhi10g1347	7		
Cume1g0041	Bhhi10g1397	7		
Cume1g0043	Bhhi10g1401	7		
Cume1g1210	Bhhi10g0727	8		
Cume1g1179	Bhhi10g0777	8		
Cume1g1178	Bhhi10g0778	8		
Cume1g1176	Bhhi10g0779	8		
Cume1g1160	Bhhi10g0781	8		
Cume1g1156	Bhhi10g0790	8		
Cume1g1117	Bhhi10g0799	8		
Cume1g1270	Bhhi10g1115	9		
Cume1g1266	Bhhi10g1130	9		
Cume1g1240	Bhhi10g1146	9		
Cume1g1239	Bhhi10g1148	9		
Cume1g1200	Bhhi10g1174	9		
Cume1g1156	Bhhi10g1179	9		
Cume1g2787	Bhhi10g1429	11		
Cume1g2772	Bhhi10g1454	11		
Cume1g2771	Bhhi10g1455	11		
Cume1g2770	Bhhi10g1456	11		
Cume1g2723	Bhhi10g1466	11		
Cume1g0067	Bhhi10g1144	12		
Cume1g0108	Bhhi10g1146	12		
Cume1g0123	Bhhi10g1190	12		
Cume1g0163	Bhhi10g1201	12		
Cume1g0280	Bhhi10g0444	13		
Cume1g0309	Bhhi10g0459	13		
Cume1g0312	Bhhi10g0474	13		
Cume1g0362	Bhhi10g0510	13		
Cume1g2349	Bhhi10g0825	14		
Cume1g2350	Bhhi10g0868	14		
Cume1g2365	Bhhi10g0880	14		
Cume1g2394	Bhhi10g0923	14		
Cume1g2681	Bhhi10g0725	15		
Cume1g2683	Bhhi10g0769	15		
Cume1g2702	Bhhi10g0773	15		
Cume1g2743	Bhhi10g0783	15		
Cume2g1776	Bhhi8g0641	1		
Cume2g1785	Bhhi8g0645	1		
Cume2g1794	Bhhi8g0646	1		
Cume2g1800	Bhhi8g0650	1		
Cume2g1801	Bhhi8g0651	1		
Cume2g1809	Bhhi8g0655	1		
Cume2g1810	Bhhi8g0659	1		
Cume2g1811	Bhhi8g0660	1		
Cume2g1813	Bhhi8g0661	1		
Cume2g1822	Bhhi8g0667	1		
Cume2g1823	Bhhi8g0668	1		
Cume2g1824	Bhhi8g0669	1		
Cume2g1829	Bhhi8g0677	1		
Cume2g1830	Bhhi8g0678	1		
Cume2g1836	Bhhi8g0681	1		
Cume2g1838	Bhhi8g0686	1		
Cume2g1845	Bhhi8g0690	1		
Cume2g1847	Bhhi8g0694	1		
Cume2g1848	Bhhi8g0695	1		
Cume2g1849	Bhhi8g0698	1		
Cume2g1855	Bhhi8g0704	1		
Cume2g1861	Bhhi8g0707	1		
Cume2g1863	Bhhi8g0708	1		
Cume2g1871	Bhhi8g0713	1		
Cume2g1873	Bhhi8g0714	1		
Cume2g1877	Bhhi8g0717	1		
Cume2g1879	Bhhi8g0722	1		
Cume2g1888	Bhhi8g0728	1		
Cume2g1919	Bhhi8g0965	2		
Cume2g1946	Bhhi8g0997	2		
Cume2g1953	Bhhi8g1000	2		
Cume2g1955	Bhhi8g1003	2		
Cume2g1957	Bhhi8g1005	2		
Cume2g1963	Bhhi8g1012	2		
Cume2g1978	Bhhi8g1014	2		
Cume2g1987	Bhhi8g1031	2		
Cume2g1990	Bhhi8g1035	2		
Cume2g1993	Bhhi8g1036	2		
Cume2g1995	Bhhi8g1037	2		
Cume2g1999	Bhhi8g1039	2		
Cume2g2002	Bhhi8g1041	2		
Cume2g2006	Bhhi8g1043	2		
Cume2g2011	Bhhi8g1060	2		Right_Bhhi8_cluster_2
Cume2g2035	Bhhi8g1095	2		Right_Bhhi8_cluster_2
Cume2g1766	Bhhi8g0755	3		
Cume2g1756	Bhhi8g0758	3		
Cume2g1738	Bhhi8g0768	3		
Cume2g1735	Bhhi8g0769	3		
Cume2g1734	Bhhi8g0770	3		
Cume2g1733	Bhhi8g0771	3		
Cume2g1731	Bhhi8g0774	3		
Cume2g1728	Bhhi8g0777	3		
Cume2g1727	Bhhi8g0779	3		
Cume2g1711	Bhhi8g0794	3		
Cume2g1691	Bhhi8g0804	3		
Cume2g1686	Bhhi8g0809	3		
Cume2g1684	Bhhi8g0811	3		
Cume2g1682	Bhhi8g0812	3		
Cume2g1681	Bhhi8g0813	3		
Cume2g1636	Bhhi8g0823	3		
Cume2g1894	Bhhi8g0880	4		
Cume2g1899	Bhhi8g0883	4		
Cume2g1901	Bhhi8g0885	4		
Cume2g1906	Bhhi8g0893	4		
Cume2g1907	Bhhi8g0894	4		
Cume2g1908	Bhhi8g0895	4		
Cume2g1909	Bhhi8g0896	4		
Cume2g1918	Bhhi8g0905	4		
Cume2g1925	Bhhi8g0908	4		
Cume2g2029	Bhhi8g0893	5		
Cume2g2044	Bhhi8g0925	5		
Cume2g2065	Bhhi8g0937	5		
Cume2g2077	Bhhi8g0948	5		
Cume2g2079	Bhhi8g0950	5		
Cume2g2090	Bhhi8g0959	5		
Cume2g2091	Bhhi8g0962	5		
Cume2g2101	Bhhi8g0965	5		
Cume2g2115	Bhhi8g0970	5		
Cume2g2091	Bhhi8g0959	6		
Cume2g2090	Bhhi8g0962	6		
Cume2g2052	Bhhi8g0992	6		
Cume2g2010	Bhhi8g0995	6		
Cume2g1963	Bhhi8g1012	6		
Cume2g1961	Bhhi8g1013	6		
Cume2g1913	Bhhi8g1014	6		
Cume2g1876	Bhhi8g0374	7		
Cume2g1838	Bhhi8g0403	7		
Cume2g1832	Bhhi8g0419	7		
Cume2g1808	Bhhi8g0434	7		
Cume2g1764	Bhhi8g0441	7		
Cume2g0206	Bhhi8g0136	8		
Cume2g0229	Bhhi8g0170	8		
Cume2g0237	Bhhi8g0180	8		
Cume2g0268	Bhhi8g0225	8		
Cume2g1158	Bhhi8g1276	9		
Cume2g1197	Bhhi8g1309	9		
Cume2g1224	Bhhi8g1329	9		
Cume2g1258	Bhhi8g1348	9		
Cume3g2128	Bhhi5g0627	1		clusterUn
Cume3g2108	Bhhi5g0651	1		
Cume3g2095	Bhhi5g0662	1		
Cume3g2080	Bhhi5g0677	1		
Cume3g2068	Bhhi5g0702	1		
Cume3g2021	Bhhi5g0740	1		
Cume3g1990	Bhhi5g0771	1		clusterUn
Cume3g1982	Bhhi5g0783	1		
Cume3g1972	Bhhi5g0787	1		
Cume3g1958	Bhhi5g0821	1		
Cume3g1950	Bhhi5g0822	1		
Cume3g1947	Bhhi5g0824	1		
Cume3g1903	Bhhi5g0834	1		
Cume3g1855	Bhhi5g0851	1		
Cume3g1855	Bhhi5g0559	2		
Cume3g1832	Bhhi5g0570	2		
